
            SP92    K+N  Waves for L= 0
  TLAB        ALL             S01             ALL             S11 
    0.0  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000 -0.0034  0.0000
   10.0  0.0000  0.0000 -0.0061  0.0000  0.0000  0.0000 -0.1063  0.0114
   20.0  0.0000  0.0000 -0.0163  0.0003  0.0000  0.0000 -0.1481  0.0224
   30.0  0.0000  0.0000 -0.0282  0.0008  0.0000  0.0000 -0.1788  0.0331
   40.0  0.0000  0.0000 -0.0411  0.0017  0.0000  0.0000 -0.2037  0.0434
   50.0  0.0000  0.0000 -0.0544  0.0030  0.0000  0.0000 -0.2247  0.0533
   60.0  0.0000  0.0000 -0.0680  0.0046  0.0000  0.0000 -0.2431  0.0631
   70.0  0.0000  0.0000 -0.0815  0.0067  0.0000  0.0000 -0.2594  0.0725
   80.0  0.0000  0.0000 -0.0948  0.0091  0.0000  0.0000 -0.2740  0.0818
   90.0  0.0000  0.0000 -0.1079  0.0118  0.0000  0.0000 -0.2873  0.0908
  100.0  0.0000  0.0000 -0.1206  0.0148  0.0000  0.0000 -0.2995  0.0996
  110.0  0.0000  0.0000 -0.1330  0.0180  0.0000  0.0000 -0.3107  0.1083
  120.0  0.0000  0.0000 -0.1450  0.0215  0.0000  0.0000 -0.3212  0.1168
  130.0  0.0000  0.0000 -0.1565  0.0251  0.0000  0.0000 -0.3309  0.1251
  140.0  0.0000  0.0000 -0.1675  0.0289  0.0000  0.0000 -0.3399  0.1333
  150.0  0.0000  0.0000 -0.1781  0.0328  0.0000  0.0000 -0.3484  0.1414
  160.0  0.0000  0.0000 -0.1882  0.0368  0.0000  0.0000 -0.3564  0.1493
  170.0  0.0000  0.0000 -0.1978  0.0408  0.0000  0.0000 -0.3640  0.1572
  180.0  0.0000  0.0000 -0.2070  0.0448  0.0000  0.0000 -0.3711  0.1649
  190.0  0.0000  0.0000 -0.2157  0.0489  0.0000  0.0000 -0.3778  0.1725
  200.0  0.0000  0.0000 -0.2239  0.0529  0.0000  0.0000 -0.3842  0.1801
  210.0  0.0000  0.0000 -0.2317  0.0569  0.0000  0.0000 -0.3903  0.1875
  220.0  0.0000  0.0000 -0.2391  0.0609  0.0000  0.0000 -0.3961  0.1949
  230.0  0.0000  0.0000 -0.2460  0.0647  0.0000  0.0000 -0.4016  0.2021
  240.0  0.0000  0.0000 -0.2526  0.0685  0.0000  0.0000 -0.4068  0.2093
  250.0  0.0000  0.0000 -0.2587  0.0721  0.0000  0.0000 -0.4118  0.2164
  260.0  0.0000  0.0000 -0.2645  0.0757  0.0000  0.0000 -0.4166  0.2235
  270.0  0.0000  0.0000 -0.2698  0.0791  0.0000  0.0000 -0.4211  0.2305
  280.0  0.0000  0.0000 -0.2748  0.0823  0.0000  0.0000 -0.4255  0.2374
  290.0  0.0000  0.0000 -0.2795  0.0854  0.0000  0.0000 -0.4296  0.2442
  300.0  0.0000  0.0000 -0.2838  0.0884  0.0000  0.0000 -0.4336  0.2510
  310.0  0.0000  0.0000 -0.2878  0.0911  0.0000  0.0000 -0.4374  0.2578
  320.0  0.0000  0.0000 -0.2915  0.0938  0.0000  0.0000 -0.4410  0.2644
  330.0  0.0000  0.0000 -0.2949  0.0962  0.0000  0.0000 -0.4445  0.2711
  340.0  0.0000  0.0000 -0.2979  0.0985  0.0000  0.0000 -0.4478  0.2776
  350.0  0.0000  0.0000 -0.3007  0.1006  0.0000  0.0000 -0.4510  0.2841
  360.0  0.0000  0.0000 -0.3033  0.1025  0.0000  0.0000 -0.4540  0.2906
